occurrence_no,record_type,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,paleomodel,paleolng,paleolat,geoplate,formation,stratgroup,member,stratscale,zone,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,environment,tectonic_setting,assembl_comps,pres_mode,preservation_quality,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,taxon_environment,environment_basis,motility,life_habit,diet
148245,occ,13080,Zatrachys serratus,species,255221,,Zatrachys serratus,,species,255221,Artinskian,,290.1,279.3,Romer,1928,7693,Chordata,Osteichthyes,Temnospondyli,Zatracheidae,Zatrachys,1,specimens,-98.856941,33.622501,"this specimen apparently assigned ""neotype"" as the type (Loc. 9) is lost (Romer 1928).",Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,based on nearby landmark,seconds,outcrop,gp_mid,-30.21,-1.18,101,Admiral,Wichita,,bed,,"red-beds, ""a series of typical red beds, consisting of clays, sandstone and shales, mostly red in color, and devoid of limestones."" ",claystone,red,,,,sandstone,red,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
148246,occ,13080,Trimerorhachis sp.,genus,36991,,Trimerorhachis,,genus,36991,Artinskian,,290.1,279.3,Romer,1928,7693,Chordata,Osteichthyes,Temnospondyli,Trimerorhachidae,Trimerorhachis,3,specimens,-98.856941,33.622501,"entered as ""Trimerorachis""",Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,based on nearby landmark,seconds,outcrop,gp_mid,-30.21,-1.18,101,Admiral,Wichita,,bed,,"red-beds, ""a series of typical red beds, consisting of clays, sandstone and shales, mostly red in color, and devoid of limestones."" ",claystone,red,,,,sandstone,red,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
148247,occ,13080,Diplocaulus sp.,genus,37264,,Diplocaulus,,genus,37264,Artinskian,,290.1,279.3,Romer,1928,7693,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,1,specimens,-98.856941,33.622501,,Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,based on nearby landmark,seconds,outcrop,gp_mid,-30.21,-1.18,101,Admiral,Wichita,,bed,,"red-beds, ""a series of typical red beds, consisting of clays, sandstone and shales, mostly red in color, and devoid of limestones."" ",claystone,red,,,,sandstone,red,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,,
148248,occ,13080,Diadectes sp.,genus,37247,,Diadectes,,genus,37247,Artinskian,,290.1,279.3,Romer,1928,7693,Chordata,Osteichthyes,Cotylosauria,Diadectidae,Diadectes,3,specimens,-98.856941,33.622501,,Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,based on nearby landmark,seconds,outcrop,gp_mid,-30.21,-1.18,101,Admiral,Wichita,,bed,,"red-beds, ""a series of typical red beds, consisting of clays, sandstone and shales, mostly red in color, and devoid of limestones."" ",claystone,red,,,,sandstone,red,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,,
148249,occ,13080,n. gen. Archeria n. sp. robinsoni,species,345354,subjective synonym of,Archeria crassidisca,,species,229309,Artinskian,,290.1,279.3,Romer,1928,7693,Chordata,Osteichthyes,Cotylosauria,NO_FAMILY_SPECIFIED,Archeria,4,specimens,-98.856941,33.622501,Authority is not Romer 1928.,Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,based on nearby landmark,seconds,outcrop,gp_mid,-30.21,-1.18,101,Admiral,Wichita,,bed,,"red-beds, ""a series of typical red beds, consisting of clays, sandstone and shales, mostly red in color, and devoid of limestones."" ",claystone,red,,,,sandstone,red,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,,
148250,occ,13080,Theropleura sp.,genus,138047,subjective synonym of,Ophiacodon,,genus,38888,Artinskian,,290.1,279.3,Romer,1928,7693,Chordata,Osteichthyes,Cotylosauria,Ophiacodontidae,Ophiacodon,11,specimens,-98.856941,33.622501,,Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,based on nearby landmark,seconds,outcrop,gp_mid,-30.21,-1.18,101,Admiral,Wichita,,bed,,"red-beds, ""a series of typical red beds, consisting of clays, sandstone and shales, mostly red in color, and devoid of limestones."" ",claystone,red,,,,sandstone,red,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,,,,,,terrestrial,,actively mobile,,
148257,occ,13083,n. gen. Noteosaurus n. sp. africanus,species,138739,nomen dubium,Mesosauridae,,family,37578,Artinskian,,290.1,279.3,Modesto,1996,4307,Chordata,Osteichthyes,Cotylosauria,Mesosauridae,,1,individuals,23.116667,-31.4,"SAM 2358 (type); originally entered as ""Mesosauridae sp."" along with the note that the specimen was formerly referred to as Noteosaurus africanus, which is now considered a nomen dubium; entry changed after authority and opinion data on ""Noteosaurus"" and ""Noteosaurus africanus"" were entered",Victoria West District,," (""Dwyka Formation"") Karoo, Karroo",ZA,Northern Cape,Victoria West (Ubuntu),based on nearby landmark,minutes,small collection,gp_mid,-47.63,-62.51,701,Whitehill,Ecca,,bed,,"not reported but probably a dark, whitish weathering shale",not reported,,,,,,,marine indet.,foreland basin,macrofossils,mold/impression,variable,"Articulated partial skeleton in a single block.\r\n""SAM 2358, like all specimens referrable to Mesosaurus and some Stereosternum material, is an impression of the original skeleton [...]"" (Modesto, 1996).",taxonomic,survey of museum collection,,,,,,,"coastal,marine,brackish",,actively mobile,amphibious,piscivore
149618,occ,13219,Dendrerpeton sp.,genus,36995,,Dendrerpeton,,genus,36995,Westphalian A,,318.1,314.6,Milner,1982,4391,Chordata,Osteichthyes,Temnospondyli,Dendrerpetidae,Dendrerpeton,1,individuals,-64.316666,45.400002,,Main Bluff at West Bay,,(Parrsboro Formation) West Bay southwest of Parrsboro,CA,Nova Scotia,Cumberland,based on nearby landmark,minutes,outcrop,gp_mid,-10.26,-13.62,108,Parrsboro,Mabou,,group of beds,,,not reported,,,,,,,terrestrial indet.,,macrofossils,body,good,"Specimen was found ""in the upright core of a lycopod stump at the talus of the main bluff near the midpoint of West Bay.""",taxonomic,survey of museum collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
149740,occ,13257,Eryops sp.,genus,37011,,Eryops,,genus,37011,Asselian,Sakmarian,298.9,290.1,Vaughn,1962,4394,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,,,-109.848053,37.174168,,Platyhystrix pocket Locality,,(Cutler Formation) Halgaito Tongue,US,Utah,San Juan,based on nearby landmark,seconds,,gp_mid,-35.77,6.4,101,Cutler,,,group of beds,,Finely laminated red sandstone and conglomerates.,sandstone,"""cross stratification"",red",,,Y,conglomerate,"pebbly,gray,red or brown","""channel""",,macrofossils,"body,cast",,,taxonomic,field collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
149741,occ,13257,cf. Platyhystrix rugosus,species,345923,,Platyhystrix rugosus,,species,194929,Asselian,Sakmarian,298.9,290.1,Vaughn,1962,4394,Chordata,Osteichthyes,Temnospondyli,Dissorophidae,Platyhystrix,,,-109.848053,37.174168,,Platyhystrix pocket Locality,,(Cutler Formation) Halgaito Tongue,US,Utah,San Juan,based on nearby landmark,seconds,,gp_mid,-35.77,6.4,101,Cutler,,,group of beds,,Finely laminated red sandstone and conglomerates.,sandstone,"""cross stratification"",red",,,Y,conglomerate,"pebbly,gray,red or brown","""channel""",,macrofossils,"body,cast",,,taxonomic,field collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,ground dwelling,carnivore
149742,occ,13257,Nectridea ? indet.,unranked clade,37260,,Nectridea,,unranked clade,37260,Asselian,Sakmarian,298.9,290.1,Vaughn,1962,4394,Chordata,Osteichthyes,,,,2,individuals,-109.848053,37.174168,,Platyhystrix pocket Locality,,(Cutler Formation) Halgaito Tongue,US,Utah,San Juan,based on nearby landmark,seconds,,gp_mid,-35.77,6.4,101,Cutler,,,group of beds,,Finely laminated red sandstone and conglomerates.,sandstone,"""cross stratification"",red",,,Y,conglomerate,"pebbly,gray,red or brown","""channel""",,macrofossils,"body,cast",,,taxonomic,field collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,,
149744,occ,13257,Limnoscelidae indet.,family,37231,,Limnoscelidae,,family,37231,Asselian,Sakmarian,298.9,290.1,Vaughn,1962,4394,Chordata,Osteichthyes,Cotylosauria,Limnoscelidae,,1,specimens,-109.848053,37.174168,,Platyhystrix pocket Locality,,(Cutler Formation) Halgaito Tongue,US,Utah,San Juan,based on nearby landmark,seconds,,gp_mid,-35.77,6.4,101,Cutler,,,group of beds,,Finely laminated red sandstone and conglomerates.,sandstone,"""cross stratification"",red",,,Y,conglomerate,"pebbly,gray,red or brown","""channel""",,macrofossils,"body,cast",,,taxonomic,field collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,,
149745,occ,13257,cf. Ophiacodon navajovicus,species,122334,,Ophiacodon navajovicus,,species,54987,Asselian,Sakmarian,298.9,290.1,Vaughn,1962,4394,Chordata,Osteichthyes,Cotylosauria,Ophiacodontidae,Ophiacodon,,,-109.848053,37.174168,,Platyhystrix pocket Locality,,(Cutler Formation) Halgaito Tongue,US,Utah,San Juan,based on nearby landmark,seconds,,gp_mid,-35.77,6.4,101,Cutler,,,group of beds,,Finely laminated red sandstone and conglomerates.,sandstone,"""cross stratification"",red",,,Y,conglomerate,"pebbly,gray,red or brown","""channel""",,macrofossils,"body,cast",,,taxonomic,field collection,,,,,,,terrestrial,,actively mobile,,
149746,occ,13257,Sphenacodontidae indet.,family,38901,,Sphenacodontidae,,family,38901,Asselian,Sakmarian,298.9,290.1,Vaughn,1962,4394,Chordata,Osteichthyes,Cotylosauria,Sphenacodontidae,,1,individuals,-109.848053,37.174168,,Platyhystrix pocket Locality,,(Cutler Formation) Halgaito Tongue,US,Utah,San Juan,based on nearby landmark,seconds,,gp_mid,-35.77,6.4,101,Cutler,,,group of beds,,Finely laminated red sandstone and conglomerates.,sandstone,"""cross stratification"",red",,,Y,conglomerate,"pebbly,gray,red or brown","""channel""",,macrofossils,"body,cast",,,taxonomic,field collection,,,,,,,terrestrial,,actively mobile,,
157307,occ,13947,Eryops ? sp.,genus,37011,,Eryops,,genus,37011,Virgilian,,303.4,298.9,Kissel and Lehman,2002,6174,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,3,specimens,-96.699997,34.933334,OMNH 55360 to 55362,OMNH V1005,,,US,Oklahoma,Seminole,based on nearby landmark,minutes,small collection,gp_mid,-28.89,-2.47,101,Ada,,,bed,,,mudstone,gray,,,,,,coarse channel fill,,macrofossils,body,,,taxonomic,"selective quarrying,surface (float),sieve,field collection",,,250 specimens,,,,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
157308,occ,13947,Diasparactus zenos,species,157286,recombined as,Diadectes zenos,,species,157286,Virgilian,,303.4,298.9,Kissel and Lehman,2002,6174,Chordata,Osteichthyes,Cotylosauria,Diadectidae,Diadectes,3,specimens,-96.699997,34.933334,OMNH 55350 to 55352,OMNH V1005,,,US,Oklahoma,Seminole,based on nearby landmark,minutes,small collection,gp_mid,-28.89,-2.47,101,Ada,,,bed,,,mudstone,gray,,,,,,coarse channel fill,,macrofossils,body,,,taxonomic,"selective quarrying,surface (float),sieve,field collection",,,250 specimens,,,,"brackish,freshwater,terrestrial",,actively mobile,,
157309,occ,13947,Ophiacodon cf. mirus,species,123418,,Ophiacodon mirus,,species,123418,Virgilian,,303.4,298.9,Kissel and Lehman,2002,6174,Chordata,Osteichthyes,Cotylosauria,Ophiacodontidae,Ophiacodon,30,specimens,-96.699997,34.933334,"OMNH 55200, 55203, 55204, 55208, 55210, 55216, 55220, 55224, 55229, 55234, 55235, 55236 to 55241, 55243, 55244, 55246, 55252 to 55259, 55274, 55275, 55292",OMNH V1005,,,US,Oklahoma,Seminole,based on nearby landmark,minutes,small collection,gp_mid,-28.89,-2.47,101,Ada,,,bed,,,mudstone,gray,,,,,,coarse channel fill,,macrofossils,body,,,taxonomic,"selective quarrying,surface (float),sieve,field collection",,,250 specimens,,,,terrestrial,,actively mobile,,
157310,occ,13947,Sphenacodontia indet.,suborder,95328,,Sphenacodontia,,suborder,95328,Virgilian,,303.4,298.9,Kissel and Lehman,2002,6174,Chordata,Osteichthyes,Cotylosauria,,,2,specimens,-96.699997,34.933334,"OMNH 55236, 55365",OMNH V1005,,,US,Oklahoma,Seminole,based on nearby landmark,minutes,small collection,gp_mid,-28.89,-2.47,101,Ada,,,bed,,,mudstone,gray,,,,,,coarse channel fill,,macrofossils,body,,,taxonomic,"selective quarrying,surface (float),sieve,field collection",,,250 specimens,,,,terrestrial,,actively mobile,,
157311,occ,13947,Tetrapoda indet. 1 informal,species,137279,species not entered,Tetrapoda,,unranked clade,53190,Virgilian,,303.4,298.9,Kissel and Lehman,2002,6174,Chordata,Osteichthyes,,,,1,specimens,-96.699997,34.933334,"OMNH 55363; originally entered as ""Tetrapoda indet.""",OMNH V1005,,,US,Oklahoma,Seminole,based on nearby landmark,minutes,small collection,gp_mid,-28.89,-2.47,101,Ada,,,bed,,,mudstone,gray,,,,,,coarse channel fill,,macrofossils,body,,,taxonomic,"selective quarrying,surface (float),sieve,field collection",,,250 specimens,,,,"brackish,freshwater,terrestrial",,actively mobile,,
157312,occ,13947,Tetrapoda indet. 2 informal,species,137279,species not entered,Tetrapoda,,unranked clade,53190,Virgilian,,303.4,298.9,Kissel and Lehman,2002,6174,Chordata,Osteichthyes,,,,1,specimens,-96.699997,34.933334,"OMNH 55364; originally entered as ""Tetrapoda indet.""",OMNH V1005,,,US,Oklahoma,Seminole,based on nearby landmark,minutes,small collection,gp_mid,-28.89,-2.47,101,Ada,,,bed,,,mudstone,gray,,,,,,coarse channel fill,,macrofossils,body,,,taxonomic,"selective quarrying,surface (float),sieve,field collection",,,250 specimens,,,,"brackish,freshwater,terrestrial",,actively mobile,,
219910,occ,22635,Eryops megacephalus,species,70397,,Eryops megacephalus,,species,70397,Wolfcamp,,296.4,268,Sander,1989,5743,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,,,-98.389999,33.34,,Archer City Bonebed 3,,"ETE Locality 1509, Archer City Bonebed 3, ",US,Texas,,,4,basin,gp_mid,-30.01,-1.59,101,Archer City,Wichita,,,,"ETE rock type adj: ""gray,blocky"", ETE lithology comments: .",mudstone,gray,,,,,,"""channel""",,,,,"ETE Abrasion: ., ETE Assemblage formation: attritional, ETE transport: ., ETE weathering/trampling: ., ETE part concentration: ., ETE time represented: . ,ETE vert pres: ., ETE invert pres: ., ETE plant pres: .",paleoecologic,,,,1 specimens,,,,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
219911,occ,22635,Archeria crassidisca,species,345353,,Archeria crassidisca,,species,229309,Wolfcamp,,296.4,268,Sander,1989,5743,Chordata,Osteichthyes,Cotylosauria,NO_FAMILY_SPECIFIED,Archeria,,,-98.389999,33.34,,Archer City Bonebed 3,,"ETE Locality 1509, Archer City Bonebed 3, ",US,Texas,,,4,basin,gp_mid,-30.01,-1.59,101,Archer City,Wichita,,,,"ETE rock type adj: ""gray,blocky"", ETE lithology comments: .",mudstone,gray,,,,,,"""channel""",,,,,"ETE Abrasion: ., ETE Assemblage formation: attritional, ETE transport: ., ETE weathering/trampling: ., ETE part concentration: ., ETE time represented: . ,ETE vert pres: ., ETE invert pres: ., ETE plant pres: .",paleoecologic,,,,1 specimens,,,,"brackish,freshwater,terrestrial",,actively mobile,,
219912,occ,22635,Edaphosaurus boanerges,species,122352,,Edaphosaurus boanerges,,species,122352,Wolfcamp,,296.4,268,Sander,1989,5743,Chordata,Osteichthyes,Cotylosauria,Edaphosauridae,Edaphosaurus,,,-98.389999,33.34,,Archer City Bonebed 3,,"ETE Locality 1509, Archer City Bonebed 3, ",US,Texas,,,4,basin,gp_mid,-30.01,-1.59,101,Archer City,Wichita,,,,"ETE rock type adj: ""gray,blocky"", ETE lithology comments: .",mudstone,gray,,,,,,"""channel""",,,,,"ETE Abrasion: ., ETE Assemblage formation: attritional, ETE transport: ., ETE weathering/trampling: ., ETE part concentration: ., ETE time represented: . ,ETE vert pres: ., ETE invert pres: ., ETE plant pres: .",paleoecologic,,,,1 specimens,,,,terrestrial,,actively mobile,,
219959,occ,22644,Platyops stuckenbergi,species,142449,recombined as,Platyoposaurus stuckenbergi,,species,142449,Urzhumian,,268,265,de Heinzelin,1983,4769,Chordata,Osteichthyes,Temnospondyli,Archegosauridae,Platyoposaurus,,,54.080002,54.099998,,Belebei,,"ETE Locality 1518, Belebei, ",RU,,,,4,,gp_mid,51.49,30.24,302,,,,,Estemmenosuchus uralensis,"ETE rock type adj: 0, ETE lithology comments: .",not reported,,,,,,,terrestrial indet.,,macrofossils,body,,"ETE Abrasion: ., ETE Assemblage formation: attritional, ETE transport: ., ETE weathering/trampling: ., ETE part concentration: ., ETE time represented: . ,ETE vert pres: ., ETE invert pres: ., ETE plant pres: .",taxonomic,,,,5 specimens,,,,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
